,VOLUME of PRODUCT,,,,,,TOTAL MEAL SWIPES,,UTILIZATION RECIPE,,,,DISPLACED RECIPE,,,
Site: University of Reading,Total product purchased,Available Product Type (to Prepare for Service),Total available product to repurpose (after primary fabrication or preparation),Product Unable to Repurpose,Total available product left that cannot be repurposed (remaining product waste),,Meal Period Utilization Recipe Served,Meal swipes per period ,Recipe Name,Volume of Repurposed Ingredient Used in Recipe,Cost per recipe,Servings per recipe,Displaced Recipe Name (Optional: if replacing something on the line),Volume that would have been served ,Cost per recipe,Servings per recipe
Product Type:  ,(Volume in kilograms),(Product Type),(Volume in kilograms),(Product Type),(Volume in kilograms),,,(when utilization recipe served),,(in kilograms),(British pounds/cents per recipe),(number of servings),,(of displaced recipe),(British pounds/cents per recipe),(number of servings)
Oct 23,,,,,,,Breakfast,35,,,,,,,,
Oct 23,,,,,,,Lunch ,322,,,,,,,,
Oct 23,,,,,,,Dinner ,123,,,,,,,,
Oct 24,,onion root,0,2kg,2kg,,Breakfast,32,Onion seasoning,,,,,,,
Oct 24,,onion skin,3kg,,,,Lunch ,357,,,,,,,,
Oct 24,,,,,,,Dinner ,131,,,,,,,,
Oct 25,,,,,,,Breakfast,22,,,,,,,,
Oct 25,,,,,,,Lunch ,328,,,,,,,,
Oct 25,,,,,,,Dinner ,191,,,,,,,,
Oct 26,,,,,,,Breakfast,14,,,,,,,,
Oct 26,,,,,,,Lunch ,289,,,,,,,,
Oct 26,,,,,,,Dinner ,105,,,,,,,,
Oct 27,60kg,onion root,,2.5kg,2.5kg ,,Breakfast,36,Onion seasoning,,,,,,,
Oct 27,,onion skin,4kg,,,,Lunch ,369,,,,,,,,
Oct 27,,,,,,,Dinner ,97,,,,,,,,
Oct 30,,Onion skin,0.5kg,,,,Breakfast,19,Onion seasoning,,,,,,,
Oct 30,,Onion root,0.7 kg,Root,0.7,,Lunch ,207,,,,,,,,
Oct 30,,,0,,,,Dinner ,59,,,,,,,,
Oct 31,,Skin,0.3kg ,,,,Breakfast,18,Onion seasoning,300gm,,,,,,
Oct 31,,Root,0.5kg ,Root,0.5,,Lunch ,257,,,,,,,,
Oct 31,,,0,,,,Dinner ,45,,,,,,,,
Nov 1,25kg,Kale Stalk ,4.5 kg,0,0,,Breakfast,15,,,,,,,,
Nov 1,,Leaf,500g,0,,,Lunch ,106,Kale Pesto ,,,,,,,
Nov 1,,Stalk,700 g,0,,,Dinner ,39,,,,,,,,
Nov 2,24kg,brocolli stalk,4.5kg,,,,Breakfast,22,Kale Pesto ,3kg,£3.97,,,,,
Nov 2,10kg,kale leaf,500g,,,,Lunch ,95,,,,,,,,
Nov 2,,Kale Stalk ,2.5kg,,,,Dinner ,47,,,,,,,,
Nov 3,7.2kg,cauliflower root,2kg,,,,Breakfast,19,,,,,,,,
Nov 3,,cauliflower leaves,1.5kg,,,,Lunch ,104,,,,,,,,
Nov 3,,,,,,,Dinner ,37,,,,,,,,
Nov 6,60kg,onion skin,800g,,,,Breakfast,36,Onion seasoning,1kg,£0.02,,,,,
Nov 6,15kg,kale stalk ,2.5kg,,,,Lunch ,318,Kale pesto,2.5kg,£4.1,,,,,
Nov 6,,,,,,,Dinner ,119,,,,,,,,
Nov 7,,,,,,,Breakfast,49,,,,,,,,
Nov 7,,,,,,,Lunch ,307,,,,,,,,
Nov 7,,,,,,,Dinner ,120,,,,,,,,
Nov 8,,,,,,,Breakfast,25,,,,,,,,
Nov 8,,,,,,,Lunch ,272,,,,,,,,
Nov 8,,,,,,,Dinner ,77,,,,,,,,
Nov 9,15kg,Kale stalk ,3.5kg,,,,Breakfast,25,Kale pesto,3.5kg,£3.86,,,,,
Nov 9,,,,,,,Lunch ,301,,,,,,,,
Nov 9,,,,,,,Dinner ,125,,,,,,,,
Nov 10,30kg,Broccoli Stalk ,4kg,,,,Breakfast,21,Broccoli risotto,4kg,£7.79,,,,,
Nov 10,,,,,,,Lunch ,278,,,,,,,,
Nov 10,,,,,,,Dinner ,90,,,,,,,,
Nov 13,,,,,,,Breakfast,33,,,,,,,,
Nov 13,,,,,,,Lunch ,324,,,,,,,,
Nov 13,,,,,,,Dinner ,123,,,,,,,,
Nov14,24kg,Broccoli Stalk,1.5kg,,,,Breakfast,25,,,,,,,,
Nov14,40kg,Onion Peel,1kg,,,,Lunch ,299,,,,,,,,
Nov14,,Onion Root,,2kg,,,Dinner ,115,,,,,,,,
Nov15,32kg,Cauliflower leaf,2kg,,,,Breakfast,29,,,,,,,,
Nov15,,Cauliflower root,,1.5kg,,,Lunch ,265,,,,,,,,
Nov15,,,,,,,Dinner ,80,,,,,,,,
Nov 16,,,,,,,Breakfast,35,,,,,,,,
Nov 16,,,,,,,Lunch ,283,,,,,,,,
Nov 16,,,,,,,Dinner ,99,,,,,,,,
Nov 17,,Onion Skin,500g,,,,Breakfast,27,,,,,,,,
Nov 17,,Onion Root ,,1.5kg,,,Lunch ,335,,,,,,,,
Nov 17,,Broccoli Stalk,3kg,,,,Dinner ,84,Broccoli risotto,,,,,,,
Nov 20,,,,,,,Breakfast,31,,,,,,,,
Nov 20,,,,,,,Lunch ,378,,,,,,,,
Nov 20,,,,,,,Dinner ,102,,,,,,,,
Nov 21,,,,,,,Breakfast,33,,,,,,,,
Nov 21,,,,,,,Lunch ,376,,,,,,,,
Nov 21,,,,,,,Dinner ,100,,,,,,,,
Nov 22,,Kale Stalk,3.5kg ,,,,Breakfast,42,,,,,,,,
Nov 22,,Broccoli Stalk ,6.5kg,,,,Lunch ,310,,,,,,,,
Nov 22,,,,,,,Dinner ,66,,,,,,,,